tip_id,year,treatment,end_year,StartDate,EndDate,Status,age_band,cohort_2022,race,gender,census_tract,participated_tip,graduated_tip,employed_full_year,employed_partial_year,earnings_full_year,offense_count_year,offended_year,has_offense_by_year,has_offense_prior_to_year,graduatedXcohort
1368,2017,1,2021.0,2021-06-07,2021-08-03 00:00:00+00:00,Graduated,35+,0.0,Unknown,Unknown,Unknown,0,0,1,1,7986.262685763499,0,0,0,0,0.0
1368,2018,1,2021.0,2021-06-07,2021-08-03 00:00:00+00:00,Graduated,35+,0.0,Unknown,Unknown,Unknown,0,0,1,1,4944.001022082373,0,0,0,0,0.0
1368,2019,1,2021.0,2021-06-07,2021-08-03 00:00:00+00:00,Graduated,35+,0.0,Unknown,Unknown,Unknown,0,0,1,1,18851.32394673623,0,0,0,0,0.0
1368,2020,1,2021.0,2021-06-07,2021-08-03 00:00:00+00:00,Graduated,35+,0.0,Unknown,Unknown,Unknown,0,0,1,1,11537.281896932083,0,0,0,0,0.0
1368,2021,1,2021.0,2021-06-07,2021-08-03 00:00:00+00:00,Graduated,35+,0.0,Unknown,Unknown,Unknown,1,1,0,1,6484.520433856284,0,0,0,0,0.0
1368,2022,1,2021.0,2021-06-07,2021-08-03 00:00:00+00:00,Graduated,35+,0.0,Unknown,Unknown,Unknown,1,1,1,1,14438.350063188864,0,0,0,0,0.0
1368,2023,1,2021.0,2021-06-07,2021-08-03 00:00:00+00:00,Graduated,35+,0.0,Unknown,Unknown,Unknown,1,1,1,1,22158.510872783187,0,0,0,0,0.0
1368,2024,1,2021.0,2021-06-07,2021-08-03 00:00:00+00:00,Graduated,35+,0.0,Unknown,Unknown,Unknown,1,1,0,1,18087.08512313015,0,0,0,0,0.0
996,2017,1,2019.0,2019-07-15,2019-09-27 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,1,1,27325.761951472818,0,0,0,0,0.0
996,2018,1,2019.0,2019-07-15,2019-09-27 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,1,1,28592.59263851664,0,0,0,0,0.0
996,2019,1,2019.0,2019-07-15,2019-09-27 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,1,1,42720.18882059363,0,0,0,0,0.0
996,2020,1,2019.0,2019-07-15,2019-09-27 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,1,1,38887.97488048935,0,0,0,0,0.0
996,2021,1,2019.0,2019-07-15,2019-09-27 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,0,1,16242.733009847181,0,0,0,0,0.0
996,2022,1,2019.0,2019-07-15,2019-09-27 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,1,1,45277.649312701404,0,0,0,0,0.0
996,2023,1,2019.0,2019-07-15,2019-09-27 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,1,1,24788.41755826309,0,0,0,0,0.0
996,2024,1,2019.0,2019-07-15,2019-09-27 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,0,1,4590.597694788952,0,0,0,0,0.0
1434,2017,0,2021.0,2021-10-18,2021-12-02 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,1,1,55711.13667677916,0,0,0,0,0.0
1434,2018,0,2021.0,2021-10-18,2021-12-02 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,1,1,41670.03389653124,0,0,0,0,0.0
1434,2019,0,2021.0,2021-10-18,2021-12-02 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,1,1,43601.69534994656,0,0,0,0,0.0
1434,2020,0,2021.0,2021-10-18,2021-12-02 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,1,1,33256.8579223072,0,0,0,0,0.0
1434,2021,0,2021.0,2021-10-18,2021-12-02 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,1,1,31355.344738261236,0,0,0,0,0.0
1434,2022,0,2021.0,2021-10-18,2021-12-02 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,1,1,30612.64474944104,0,0,0,0,0.0
1434,2023,0,2021.0,2021-10-18,2021-12-02 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,1,1,40268.35664501552,0,0,0,0,0.0
1434,2024,0,2021.0,2021-10-18,2021-12-02 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,0,1,8136.314780425957,0,0,0,0,0.0
744,2017,1,2018.0,2018-03-19,2018-06-01 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,0,0,0.0,0,0,0,0,0.0
744,2018,1,2018.0,2018-03-19,2018-06-01 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,0,0,0.0,0,0,0,0,0.0
744,2019,1,2018.0,2018-03-19,2018-06-01 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,0,1,1028.5500755437392,0,0,0,0,0.0
744,2020,1,2018.0,2018-03-19,2018-06-01 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,0,1,16408.46755659542,0,0,0,0,0.0
744,2021,1,2018.0,2018-03-19,2018-06-01 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,0,1,9700.321406739939,0,0,0,0,0.0
744,2022,1,2018.0,2018-03-19,2018-06-01 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,0,0,0.0,0,0,0,0,0.0
744,2023,1,2018.0,2018-03-19,2018-06-01 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,0,0,0.0,0,0,0,0,0.0
744,2024,1,2018.0,2018-03-19,2018-06-01 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,0,0,0.0,0,0,0,0,0.0
1130,2017,0,2020.0,2020-01-13,2020-01-17 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,0,1,3043.402148377801,0,0,0,0,0.0
1130,2018,0,2020.0,2020-01-13,2020-01-17 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,0,1,7847.533090817315,0,0,0,0,0.0
1130,2019,0,2020.0,2020-01-13,2020-01-17 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,0,1,974.2618994713514,0,0,0,0,0.0
1130,2020,0,2020.0,2020-01-13,2020-01-17 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,0,0,0.0,0,0,0,0,0.0
1130,2021,0,2020.0,2020-01-13,2020-01-17 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,0,0,0.0,0,0,0,0,0.0
1130,2022,0,2020.0,2020-01-13,2020-01-17 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,0,0,0.0,0,0,0,0,0.0
1130,2023,0,2020.0,2020-01-13,2020-01-17 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,0,0,0.0,0,0,0,0,0.0
1130,2024,0,2020.0,2020-01-13,2020-01-17 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,0,0,0.0,3,1,1,0,0.0
1123,2017,1,2020.0,2020-01-06,2020-03-13 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,1,1,18169.58531325854,0,0,0,0,0.0
1123,2018,1,2020.0,2020-01-06,2020-03-13 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,0,1,11790.55047337339,0,0,0,0,0.0
1123,2019,1,2020.0,2020-01-06,2020-03-13 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,0,1,19095.2452527979,0,0,0,0,0.0
1123,2020,1,2020.0,2020-01-06,2020-03-13 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,0,1,588.0525563089561,0,0,0,0,0.0
1123,2021,1,2020.0,2020-01-06,2020-03-13 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,1,1,12788.871070633315,0,0,0,0,0.0
1123,2022,1,2020.0,2020-01-06,2020-03-13 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,1,1,18949.62951780238,0,0,0,0,0.0
1123,2023,1,2020.0,2020-01-06,2020-03-13 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,0,1,17717.934654760524,0,0,0,0,0.0
1123,2024,1,2020.0,2020-01-06,2020-03-13 00:00:00+00:00,Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,1,0,1,22639.589637934714,0,0,0,0,0.0
