tip_id,year,unit_id,pcs_off_id,unit_type,treatment,StartDate,start_year,cohort_2022,gender,race,year_of_birth,age_of_first_offense,num_sentences_before_start,any_high_ogs_before_start,num_offenses_before_start,earnings_2yr_preTIP,job_right_before_tip,psm_distance,upper_date,year_offset,year_start_date,year_end_date,in_post_1p5_window,post,earnings_year,employed_year,has_prior_offense_by_year,has_offense_by_year,offense_count_year,has_offense_year,has_prior_offense_before_start,recidivism_year,treatment_post,treatment_post_cohort,log_earnings_year
17,2015,P_17,,participant,1,2014/4/10,2014,0,Male,Black,1971,42,0,0,1,0,0,0,2015/10/9,1,2015/1/1,2016/1/1,1,1,0,0,1,1,0,0,1,0,1,0,0
18,2010,C_18_1209944.0,1209944,control,0,2012/8/13,2012,0,Male,Black,1978,24,5,0,5,0,0,2.763862738,2014/2/11,-2,2010/1/1,2011/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
18,2010,P_18,,participant,1,2012/8/13,2012,0,Male,Black,1978,24,8,0,2,0,0,0,2014/2/11,-2,2010/1/1,2011/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
18,2011,C_18_1209944.0,1209944,control,0,2012/8/13,2012,0,Male,Black,1978,24,5,0,5,0,0,2.763862738,2014/2/11,-1,2011/1/1,2012/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
18,2011,P_18,,participant,1,2012/8/13,2012,0,Male,Black,1978,24,8,0,2,0,0,0,2014/2/11,-1,2011/1/1,2012/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
18,2012,C_18_1209944.0,1209944,control,0,2012/8/13,2012,0,Male,Black,1978,24,5,0,5,0,0,2.763862738,2014/2/11,0,2012/1/1,2013/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
18,2012,P_18,,participant,1,2012/8/13,2012,0,Male,Black,1978,24,8,0,2,0,0,0,2014/2/11,0,2012/1/1,2013/1/1,1,1,0,0,1,1,0,0,1,0,1,0,0
18,2013,C_18_1209944.0,1209944,control,0,2012/8/13,2012,0,Male,Black,1978,24,5,0,5,0,0,2.763862738,2014/2/11,1,2013/1/1,2014/1/1,1,1,0,0,1,1,2,1,1,1,0,0,0
18,2013,P_18,,participant,1,2012/8/13,2012,0,Male,Black,1978,24,8,0,2,0,0,0,2014/2/11,1,2013/1/1,2014/1/1,1,1,0,0,1,1,0,0,1,0,1,0,0
19,2012,C_19_1120626.0,1120626,control,0,2014/3/24,2014,0,Male,Black,1993,18,3,1,3,0,0,0.512269891,2015/9/22,-2,2012/1/1,2013/1/1,0,0,0,0,0,1,0,0,1,0,0,0,0
19,2012,P_19,,participant,1,2014/3/24,2014,0,Male,Black,1993,18,4,1,2,0,0,0,2015/9/22,-2,2012/1/1,2013/1/1,0,0,0,0,0,1,0,0,1,0,0,0,0
19,2013,C_19_1120626.0,1120626,control,0,2014/3/24,2014,0,Male,Black,1993,18,3,1,3,0,0,0.512269891,2015/9/22,-1,2013/1/1,2014/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
