tip_id,year,treatment,end_year,StartDate,EndDate,Status,age_band,cohort_2022,race,gender,census_tract,participated_tip,graduated_tip,employed_full_year,employed_partial_year,earnings_full_year,offense_count_year,offended_year,has_offense_by_year,has_offense_prior_to_year
1140,2018,1,2020,2020-01-20,2020-04-03 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,1,9665.976559461287,2,1,1,1
1140,2019,1,2020,2020-01-20,2020-04-03 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,1,9534.846136773835,0,0,1,1
1140,2020,1,2020,2020-01-20,2020-04-03 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,6196.7542605690505,0,0,1,1
1140,2021,1,2020,2020-01-20,2020-04-03 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,1,1,13536.717139156008,0,0,1,1
1140,2022,1,2020,2020-01-20,2020-04-03 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,1547.031070032845,1,1,1,1
1140,2023,1,2020,2020-01-20,2020-04-03 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,1143.873691041562,0,0,1,1
1140,2024,1,2020,2020-01-20,2020-04-03 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,12291.72549495252,0,0,1,1
1125,2017,0,2020,2019-12-16,2020-01-08 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,1,22013.14343799042,0,0,0,0
1125,2018,0,2020,2019-12-16,2020-01-08 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,34513.376546919826,0,0,0,0
1125,2019,0,2020,2019-12-16,2020-01-08 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,20974.6187162039,0,0,0,0
1125,2020,0,2020,2019-12-16,2020-01-08 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,1,1,22329.303202886847,0,0,0,0
1125,2021,0,2020,2019-12-16,2020-01-08 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,1,6096.309316288979,2,1,1,0
1125,2022,0,2020,2019-12-16,2020-01-08 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,1,1,33986.22008430136,0,0,1,1
1125,2023,0,2020,2019-12-16,2020-01-08 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,1,1,31384.91330791768,1,1,1,1
1125,2024,0,2020,2019-12-16,2020-01-08 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,1,18385.531708150244,0,0,1,1
1136,2017,1,2020,2020-01-20,2020-03-06 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,1,20248.445652350274,0,0,0,0
1136,2018,1,2020,2020-01-20,2020-03-06 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,73655.09042106633,0,0,0,0
1136,2019,1,2020,2020-01-20,2020-03-06 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,77598.38016666728,0,0,0,0
1136,2020,1,2020,2020-01-20,2020-03-06 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,1,1,76702.87920238929,0,0,0,0
1136,2021,1,2020,2020-01-20,2020-03-06 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,1,1,74027.57209106289,0,0,0,0
1136,2022,1,2020,2020-01-20,2020-03-06 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,1,1,72372.94511432329,4,1,1,0
1136,2023,1,2020,2020-01-20,2020-03-06 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,1,1,62987.882479753964,0,0,1,1
1136,2024,1,2020,2020-01-20,2020-03-06 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,44804.71529701895,0,0,1,1
1260,2017,0,2020,2020-10-12,2020-12-01 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,32630.985811865503,1,1,1,0
1260,2018,0,2020,2020-10-12,2020-12-01 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,25926.548344032606,0,0,1,1
1260,2019,0,2020,2020-10-12,2020-12-01 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,22817.348955123252,0,0,1,1
1260,2020,0,2020,2020-10-12,2020-12-01 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,1,3836.6969141661657,0,0,1,1
1260,2021,0,2020,2020-10-12,2020-12-01 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,1,7638.693007941119,0,0,1,1
1260,2022,0,2020,2020-10-12,2020-12-01 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,1,1,31727.5139298011,0,0,1,1
1260,2023,0,2020,2020-10-12,2020-12-01 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,1,1,42691.35605728092,0,0,1,1
1260,2024,0,2020,2020-10-12,2020-12-01 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,1,32933.47254206453,0,0,1,1
1298,2017,1,2021,2021-02-16,2021-03-16 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,8809.457964426727,0,0,0,0
1298,2018,1,2021,2021-02-16,2021-03-16 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,1,2464.3856531031925,0,0,0,0
1298,2019,1,2021,2021-02-16,2021-03-16 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,9999.54382671748,0,0,0,0
1298,2020,1,2021,2021-02-16,2021-03-16 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,1,2984.730412934828,0,0,0,0
1298,2021,1,2021,2021-02-16,2021-03-16 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,2060.3263904983273,0,0,0,0
1298,2022,1,2021,2021-02-16,2021-03-16 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,0,0.0,0,0,0,0
1298,2023,1,2021,2021-02-16,2021-03-16 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,0,0.0,0,0,0,0
1298,2024,1,2021,2021-02-16,2021-03-16 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,0,0.0,0,0,0,0
1243,2017,0,2020,2020-08-17,2020-11-09 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,1,4205.341337169631,1,1,1,0
1243,2018,0,2020,2020-08-17,2020-11-09 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,1,216.85494121512778,3,1,1,1
