tip_id,year_of_birth,year_of_death,census_tract,gender,race
1855.0,2000.0,,42003130600,Male,Black
2190.0,1989.0,,42003130800,Female,Black
2019.0,1991.0,,42003563900,Male,White
2238.0,1993.0,,42003464300,Male,Black
1290.0,1984.0,,42003523501,Male,Black
774.0,1994.0,,42003515401,Male,Black
1640.0,1998.0,,42003486700,Female,Black
1738.0,2002.0,,42003512000,Male,Black
1313.0,1995.0,,42003563100,Male,Other
1939.0,1996.0,,42003202200,Male,White
1661.0,1996.0,,42003517000,Male,Black
2097.0,2006.0,,42129800400,Male,White
1279.0,1986.0,,42003475401,Female,White
915.0,1995.0,,42003492900,Female,White
356.0,1972.0,,42003520001,Male,Black
328.0,1990.0,,42043020400,Male,Black
237.0,1977.0,,42003564700,Male,Black
410.0,1979.0,,42003496102,Male,Black
930.0,1999.0,,42003523502,Male,Black
1230.0,1996.0,,42129800700,Male,Black
751.0,1992.0,,42003552200,Male,Black
1367.0,1994.0,,42003100500,Male,Black
2156.0,1991.0,,42101014800,Male,Black
2221.0,1997.0,,42003551300,Female,Black
769.0,1994.0,,42003484300,Male,Black
827.0,1997.0,,42003523702,Male,Black
990.0,1991.0,,42003514000,Male,Black
2263.0,1990.0,,42003488200,Female,Black
135.0,1983.0,,42003515401,Male,Black
1507.0,1985.0,,42003425000,Male,White
1717.0,1995.0,,42003261400,Male,Black
1692.0,1994.0,,42003515200,Male,Black
966.0,1994.0,,42003509400,Male,Black
1509.0,1995.0,,42125775200,Male,Black
1301.0,1988.0,,42003523100,Male,Black
1354.0,1993.0,,42003191600,Male,Black
1677.0,1996.0,,42003523501,Male,Black
1070.0,1981.0,,42003551300,Male,White
220.0,1994.0,,42003526202,Male,Black
1845.0,1992.0,,42003517000,Female,Black
1885.0,1997.0,,42003513800,Male,Black
453.0,1983.0,,42003512000,Male,Black
1341.0,2000.0,,42003521200,Male,Black
762.0,1987.0,,42003561400,Male,Black
802.0,1985.0,,42003561500,Female,Black
1963.0,1993.0,,42003271600,Male,Black
509.0,1993.0,,42003523501,Male,Black
1851.0,2003.0,,42003523100,Male,Black
1111.0,1990.0,,42003523400,Male,Black
679.0,1974.0,,42003524000,Male,Black
2259.0,1998.0,,42003271600,Male,Black
1166.0,1996.0,,42129804100,Male,Black
2110.0,1997.0,,42003472100,Male,White
2132.0,1989.0,,42003512000,Female,Black
393.0,1991.0,,42003486700,Male,Black
521.0,1981.0,,42007604000,Male,White
503.0,1989.0,,42003151600,Male,White
1823.0,1991.0,,42003518001,Female,Black
140.0,1986.0,,42003462100,Male,Black
452.0,1985.0,,42003552100,Male,Black
60.0,1984.0,,42003523400,Male,White
1229.0,1983.0,,42125754300,Male,Black
120.0,1986.0,,42003478100,Male,White
442.0,1977.0,,42003552000,Male,Black
2219.0,1992.0,,42003488200,Male,Black
392.0,1989.0,,42003488200,Male,White
275.0,1973.0,,42003523100,Male,Black
2305.0,1985.0,,42073000600,Male,Black
380.0,1975.0,,42007604200,Male,White
832.0,1989.0,,42003526202,Male,Black
187.0,1986.0,,42003550900,Male,
417.0,1990.0,,42003140800,Male,White
1007.0,1987.0,,42081000900,Male,White
583.0,1980.0,,42049001800,Male,Black
650.0,1985.0,,42091208801,Male,White
1983.0,1988.0,,42003290100,Female,Black
348.0,1983.0,,42003191400,Male,White
1361.0,2001.0,,42003191700,Male,White
2123.0,2000.0,,42003523200,Male,Black
1566.0,2002.0,,42003521301,Male,Black
720.0,1987.0,,42003120900,Male,Black
1244.0,1993.0,,42003523200,Male,Black
1833.0,1975.0,,42003489002,Male,Black
2261.0,1999.0,,42003141300,Male,White
1353.0,1986.0,,42003010301,Male,Black
836.0,1995.0,,42003564800,Male,Black
61.0,1968.0,,42003320600,Male,White
2209.0,2002.0,,,Male,Black
2009.0,1981.0,,42007604700,Male,Black
1529.0,1974.0,,42003030500,Male,Black
1629.0,1989.0,,42017106402,Male,White
1742.0,1968.0,,42003564700,Male,Black
1335.0,1983.0,,42003271600,Male,Black
2075.0,1985.0,,42003428100,Male,Black
1008.0,1991.0,,42003070900,Female,White
1104.0,1995.0,,42003480200,Male,Black
1133.0,1996.0,,42003040900,Female,White
404.0,1990.0,,42097080900,Male,Black
